mi suli .	■▁I ■▁am ■▁tall ■▁.
mi suli .	■▁I ■▁'m ■▁important ■▁.
mi suli .	■▁I ■▁'m ■▁f ■at ■▁.
mi suli .	■▁I ■▁'m ■▁big ■▁.
kili li tawa anpa poka kasi .	■▁The ■▁apple ■▁does ■▁not ■▁fall ■▁far ■▁from ■▁the ■▁tree ■▁.
kili li tawa anpa poka kasi .	■▁The ■▁apple ■▁does ■▁not ■▁fall ■▁far ■▁from ■▁the ■▁tr ■unk ■▁.
moku li pona . jan li pali pona lon ni .	■▁The ■▁food ■▁is ■▁good ■▁, ■▁and ■▁s ■erv ■ice ■▁is ■▁good ■▁here ■▁.
meli ni li jan seme ?	■▁Who ■▁'s ■▁that ■▁girl ■▁?
ona li seme ?	■▁Who ■▁are ■▁they ■▁?
sina jan seme ?	■▁Who ■▁are ■▁you ■▁?
jan seme li pakala e ni ?	■▁Who ■▁broke ■▁this ■▁?
seme li wile pana e pona tawa ona ?	■▁Who ■▁help ■s ■▁her ■▁?
ona li toki e " toki " tawa meli .	■▁He ■▁said ■▁hell ■o ■▁to ■▁the ■▁woman ■▁.
ona li toki e " toki " tawa meli .	■▁He ■▁g ■ree ■ted ■▁the ■▁woman ■▁.
toki !	■▁He ■ll ■o ■▁!
toki !	■▁H ■i ■▁.
jan SI ##PU li toki e " toki ! " li pana e kon pi pilin pona lili .	■▁" ■▁He ■ll ■o ■▁, ■▁" ■▁said ■▁S ■ip ■u ■▁, ■▁sm ■il ■ing ■▁.
toki ! tenpo suno kama pona !	■▁He ■ll ■o ■▁! ■▁G ■ood ■▁morning ■▁!
o pona e tomo !	■▁C ■le ■an ■▁up ■▁the ■▁room ■▁.
tenpo li pona e sijelo ike ale .	■▁T ■ime ■▁he ■als ■▁all ■▁w ■ound ■s ■▁.
ale li jo e tenpo .	■▁There ■▁is ■▁a ■▁time ■▁for ■▁everything ■▁.
ale li jo e tenpo .	■▁Everything ■▁in ■▁its ■▁right ■▁con ■te ■xt ■▁.
ale li jo e tenpo .	■▁All ■▁things ■▁in ■▁time ■▁.
sina ike mute tawa jan JE ##SU .	■▁J ■es ■us ■▁hat ■es ■▁you ■▁.
